0, 1028, 0.97, 0.9544
1, 1455, 0.72, 0.9999
2, 1036, 1.42, 0.9999
3, 1143, 1.09, 0.9998
4, 1010, 0.77, 0.9999
5, 1123, 3.50, 0.9605
6, 1184, 3.40, 0.9610
7, 1069, 1.27, 0.9998
8, 1007, 1.33, 0.9999
9, 1021, 1.15, 0.9999
10, 1171, 1.13, 0.9999
11, 1337, 2.36, 0.9998
12, 1138, 0.68, 0.9999
13, 1133, 1.34, 0.9999
14, 1012, 1.23, 0.9999
15, 1212, 1.27, 0.9999
16, 1189, 0.88, 0.9999
17, 1029, 0.73, 0.9999
18, 1181, 0.92, 0.9993
19, 1445, 1.10, 0.9999
20, 1170, 0.95, 0.9998
21, 1407, 0.78, 0.9998
22, 967, 0.97, 0.9999
23, 1069, 1.13, 0.9999
24, 1224, 1.09, 0.9999
25, 1193, 0.98, 0.9999
26, 1225, 1.57, 0.9998
27, 1397, 0.86, 0.9999
28, 978, 4.33, 0.9576
29, 1403, 2.04, 0.9646
30, 1190, 1.31, 0.9999
31, 1310, 1.69, 0.9999
32, 998, 1.32, 0.9999
33, 834, 1.93, 0.9998
34, 1149, 1.11, 0.9999
35, 1222, 0.99, 0.9999
36, 1200, 1.00, 0.9998
37, 987, 1.49, 0.9999
38, 690, 2.18, 0.9998
39, 1137, 0.98, 0.9999
40, 1084, 0.97, 0.9999
41, 1003, 1.12, 0.9993
42, 1038, 1.14, 0.9999
43, 1042, 1.34, 0.9999
44, 990, 1.25, 0.9999
45, 1143, 0.90, 0.9999
46, 1114, 1.16, 0.9999
47, 1086, 1.14, 0.9999
48, 1061, 1.23, 0.9998
49, 1040, 1.38, 0.9999
50, 1291, 0.95, 0.9999
51, 1388, 1.90, 0.9604
52, 1203, 2.62, 0.9619
53, 1024, 1.00, 0.9999
54, 1278, 0.93, 0.9999
55, 1216, 0.88, 0.9998
56, 1197, 1.34, 0.9999
57, 997, 0.84, 0.9999
58, 899, 1.64, 0.9999
59, 1047, 1.46, 0.9998
60, 1160, 1.06, 0.9999
61, 1386, 0.87, 0.9999
62, 892, 2.12, 0.9998
63, 1024, 1.11, 0.9999
64, 1211, 0.80, 0.9993
