969, 4, 68.33
970, 4, 25.89
971, 4, 45.62
972, 4, 65.69
973, 4, 25.84
974, 4, 45.86
975, 4, 55.91
976, 4, 20.95
977, 4, 38.44
978, 4, 58.34
979, 4, 25.91
980, 5, 37.07
981, 4, 65.93
982, 4, 30.89
983, 4, 48.44
984, 4, 10.67
985, 4, 30.93
986, 4, 48.39
987, 4, 13.29
988, 4, 33.32
989, 24, 18.14
990, 4, 63.23
991, 4, 23.31
992, 4, 43.42
993, 5, 48.77
994, 4, 23.40
995, 4, 40.91
996, 5, 47.06
997, 4, 23.56
998, 4, 43.42
999, 4, 58.47
1000, 4, 25.94
1001, 4, 43.44
1002, 4, 63.36
1003, 4, 28.13
1004, 4, 45.72
1005, 5, 53.23
1006, 4, 29.96
1007, 4, 48.25
1008, 4, 13.49
1009, 4, 30.92
1010, 4, 50.64
1011, 5, 13.14
1012, 4, 35.94
1013, 4, 55.96
1014, 4, 23.40
1015, 4, 41.18
1016, 4, 58.38
1017, 4, 25.93
1018, 4, 45.85
1019, 4, 66.15
1020, 4, 33.20
1021, 4, 50.73
1022, 4, 16.03
1023, 4, 36.03
1024, 5, 42.81
1025, 4, 18.29
